_id,ADDRESS_POINT_ID,ADDRESS_POINT_ID_LINK,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,GENERAL_USE,CENTRELINE_ID,CENTRELINE_SIDE,CENTRELINE_MEASURE,ADDRESS_CLASS_DESC,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,BUILDING_NAME,CLIENT_ADDRESS,TYPE_INSTALL,YEAR_INSTALL,SIZE_INSTALL,UNIT_MAX_POWER,ENERGY_OUTPUT,UNIT_ANNUAL,LANDLORD,SYSTEM_OWNERSHIP,FORMER_MUNICIPALITY,CLIENT_ADDR_POINT_ID,OBJECTID,geometry
46,20275,NA,18,Cranfield Rd,18 Cranfield Rd,M4B 3G7,East York,Toronto,Beaches-East York (19 ),NA,113001,Industrial Location,402,L,127.65,Land,18,NA,NA,NA,76,NA,NA,NA,NA,42,Police Cranfield Garage,18 Cranfield Road,FIT 4,"Aug 1, 2017",150,NA,NA,NA,NA,NA,NA,20275,42,"c(-79.3139855285419, 43.710461717869)"
47,6427686,NA,888,Cosburn Ave,888 Cosburn Ave,M4C 2W6,East York,Toronto,Beaches-East York (19 ),Stan Wadlow Park,106001,Municipal Park,6427641,L,48.22,Land,888,NA,NA,NA,70,NA,NA,NA,NA,43,Stan Wadlow Park - East York Memorial Arena,888 Cosburn Avenue,FIT 4,"Jan 29, 2018",130,NA,NA,NA,NA,NA,NA,6427686,43,"c(-79.3152902099295, 43.6974227872025)"
48,8211750,NA,89,Northline Rd,89 Northline Rd,M4B 3G1,East York,Toronto,Beaches-East York (19 ),NA,115001,Unknown,14676230,R,148.21,Land,89,NA,NA,NA,270,NA,NA,NA,NA,44,Elections Building,89 Northline Road,FIT 4,"Jan 26, 2018",140,NA,NA,NA,NA,NA,NA,8211750,44,"c(-79.3070054953526, 43.7157135064124)"
49,6294641,NA,175,Main St,175 Main St,M4E 2W2,former Toronto,Toronto,Beaches-East York (19 ),East Toronto Athletic Field,106001,Municipal Park,14673384,R,55.67,Land,175,NA,NA,NA,234,NA,NA,NA,NA,45,Ted Reeve Community Arena,175 Main Street,FIT 4,"Jan 31, 2018",130,NA,NA,NA,NA,NA,NA,6294641,45,"c(-79.299272767922, 43.6846020353579)"
50,9950386,NA,2975,Don Mills Rd W,2975 Don Mills Rd W,M2J 3B7,North York,Toronto,Don Valley North (17 ),Oriole Community Resource Centre,106007,Community/Assembly Hall,9950387,R,279.79,Land,2975,NA,NA,NA,5399,NA,NA,NA,NA,46,Oriole Park Community Centre & Arena,2975 Don Mills Road West,FIT 4,"Jan 29, 2018",220,NA,NA,NA,NA,NA,NA,9950386,46,"c(-79.3512777208514, 43.7818008978342)"
51,30027073,NA,55,Forest Manor Rd,55 Forest Manor Rd,M2J 0C2,North York,Toronto,Don Valley North (17 ),NA,106007,Community/Assembly Hall,30095975,R,8.84,Land,55,NA,NA,NA,5625,NA,NA,NA,NA,47,Parkway Forest Community Centre,55 Forest Manor Road,FIT 4,"Jan 19, 2018",80,NA,NA,NA,NA,NA,NA,30027073,47,"c(-79.3438943704941, 43.7725373289903)"
52,13967566,NA,18,Dyas Rd,18 Dyas Rd,M3B 1V5,North York,Toronto,Don Valley East (16 ),NA,104002,Municipal Other,11541978,R,228.94,Land,18,NA,NA,NA,5467,NA,NA,NA,NA,48,Corporate Office Building,18 Dyas Road,FIT 4,"Feb 2, 2018",100,NA,NA,NA,NA,NA,NA,13967566,48,"c(-79.3526252247513, 43.7517067883267)"
53,20039471,6682366,25,Old Eglinton Ave,25 Old Eglinton Ave,M4A 0A2,North York,Toronto,Don Valley East (16 ),Bermondsey Yard,110001,Other Use,11517219,L,343.89,Structure,25,NA,NA,NA,6326,NA,NA,NA,NA,49,Bermondsey Yard - Office & Garage Bldg,25 Old Eglinton Ave,FIT 4,"Feb 2, 2018",50,NA,NA,NA,NA,NA,NA,20039471,49,"c(-79.318040318266, 43.7232696930687)"
54,14037435,NA,45,Fairfax Cres,45 Fairfax Cres,M1L 1Z6,Scarborough,Toronto,Scarborough Southwest (20 ),Clairlea Park,106005,Sport Complex,30059891,R,19.32,Land,45,NA,NA,NA,7865,NA,NA,NA,NA,50,Clairlea Park - Scarborough Indoor Soccer Centre,45 Fairfax Crescent,FIT 4,"Feb 2, 2018",100,NA,NA,NA,NA,NA,NA,14037435,50,"c(-79.2871518212433, 43.7151130267455)"
55,3461176,NA,2467,Eglinton Ave E,2467 Eglinton Ave E,M1K 2R1,Scarborough,Toronto,Scarborough Southwest (20 ),Don Montgomery Community Recreation Centre - Building Grounds,106007,Community/Assembly Hall,3461181,R,-27.48,Land,2467,NA,NA,NA,125,NA,NA,NA,NA,51,Don Montgomery  Arena & Gym,2467 Eglinton Avenue East,FIT 4,"Mar 1, 2018",240,NA,NA,NA,NA,NA,NA,3461176,51,"c(-79.2616645716191, 43.7326626182699)"
56,30000057,NA,25,Mendelssohn St,25 Mendelssohn St,M1L 0G6,Scarborough,Toronto,Scarborough Southwest (20 ),Warden Hilltop Community Centre - Building Grounds,106007,Community/Assembly Hall,30118290,R,45.01,Land,25,NA,NA,NA,19017,NA,NA,NA,NA,52,Warden Hilltop Community Centre,25 Mendelssohn Street,FIT 4,"Aug 28, 2017",40,NA,NA,NA,NA,NA,NA,30000057,52,"c(-79.2804886799693, 43.7149029373781)"
57,5045390,NA,3600,Kingston Rd,3600 Kingston Rd,M1M 1R9,Scarborough,Toronto,Scarborough-Guildwood (24 ),Scarborough Village Recreation Centre - Building Grounds,106007,Community/Assembly Hall,5041127,L,120.22,Land,3600,NA,NA,NA,3786,NA,NA,NA,NA,53,Scarborough Village Recreation Centre & Arena,3600 Kingston Road,FIT 4,"Nov 27, 2017",130,NA,NA,NA,NA,NA,NA,5045390,53,"c(-79.2167581311358, 43.7399913153288)"
58,6436448,NA,2231,Lawrence Ave E,2231 Lawrence Ave E,M1P 2P5,Scarborough,Toronto,Scarborough Centre (21 ),McGregor Park,106007,Community/Assembly Hall,6436449,R,-55.56,Land,2231,NA,NA,NA,3828,NA,NA,NA,NA,54,McGregor Park Arena,2231 Lawrence Ave East,FIT 4,"Feb 2, 2018",120,NA,NA,NA,NA,NA,NA,6436448,54,"c(-79.2801490008504, 43.7476285889232)"
59,6793429,NA,1967,Ellesmere Rd,1967 Ellesmere Rd,M1H 2W5,Scarborough,Toronto,Scarborough-Guildwood (24 ),Centennial Recreation Centre,106007,Community/Assembly Hall,30098911,R,109.99,Land,1967,NA,NA,NA,7835,NA,NA,NA,NA,55,Centennial Galaxy Arena,1967 Ellesmere Road,FIT 4,"Aug 28, 2017",130,NA,NA,NA,NA,NA,NA,6793429,55,"c(-79.2351078852929, 43.7755317569301)"
60,310564,NA,150,Borough Dr,150 Borough Dr,M1P 4N7,Scarborough,Toronto,Scarborough Centre (21 ),Albert Campbell Square,104001,Municipal City Hall,107945,L,131,Land,150,NA,NA,NA,7397,NA,NA,NA,NA,56,Scarborough Civic Centre,150 Borough Drive,FIT 4,"Mar 20, 2018",100,NA,NA,NA,NA,NA,NA,310564,56,"c(-79.2572409577755, 43.7728105957421)"
61,321804,NA,140,Commander Blvd,140 Commander Blvd,M1S 3H7,Scarborough,Toronto,Scarborough North (23 ),Commander Park,106007,Community/Assembly Hall,105748,R,528.49,Land,140,NA,NA,NA,7632,NA,NA,NA,NA,58,Commander Park Arena & Community Centre,140 Commander Boulevard,FIT 4,"Feb 2, 2018",240,NA,NA,NA,NA,NA,NA,321804,58,"c(-79.267814428165, 43.7950391949652)"
62,9340585,NA,1,Transfer Pl,1 Transfer Pl,M1S 5H8,Scarborough,Toronto,Scarborough North (23 ),NA,115001,Unknown,9340587,L,-86.47,Land,1,NA,NA,NA,9109,NA,NA,NA,NA,59,Scarborough Transfer Station,1 Transfer Place,FIT 4,"Feb 23, 2018",300,NA,NA,NA,NA,NA,NA,9340585,59,"c(-79.2426136958688, 43.7965097145422)"
63,2236409,NA,715,Milner Ave,715 Milner Ave,M1B 3C3,Scarborough,Toronto,Scarborough-Rouge Park (25 ),NA,113001,Industrial Location,2236410,R,691.95,Land,715,NA,NA,NA,8507,NA,NA,NA,NA,60,715 Milner Ave,715 Milner Ave,FIT 4,"Mar 13, 2018",500,NA,NA,NA,NA,NA,NA,2236409,60,"c(-79.2079880927316, 43.7959911159341)"
64,14646184,NA,56,Neilson Dr,56 Neilson Dr,M9C 1V7,Etobicoke,Toronto,Etobicoke Centre (2 ),Neilson Park - Etobicoke,106001,Municipal Park,30040102,L,90.69,Land,56,NA,NA,NA,2164,NA,NA,NA,NA,61,Neilson Creative Centre,56 Neilson Drive,MircoFIT A,"Feb 19, 2014",10,NA,NA,NA,NA,NA,NA,14646184,61,"c(-79.5664078320333, 43.6302119116271)"
65,8492134,NA,2700,Eglinton Ave W,2700 Eglinton Ave W,M6M 1V1,York,Toronto,York South-Weston (5 ),Coronation Park - York,104001,Municipal City Hall,8492127,R,88.22,Land,2700,NA,NA,NA,571,NA,NA,NA,NA,62,York Civic Centre,2700 Eglinton Ave W,MircoFIT A,"Feb 20, 2014",10,NA,NA,NA,NA,NA,NA,8492134,62,"c(-79.4784123776778, 43.6898842408096)"
66,8417820,NA,760,Dovercourt Rd,760 Dovercourt Rd,M6H 2X2,former Toronto,Toronto,Davenport (9 ),Ambulance Station 33,103001,Ambulance Station,14011492,L,18.6,Land,760,NA,NA,NA,3317,NA,NA,NA,NA,63,Ems 33,760 Dovercourt Road,MircoFIT A,"Feb 10, 2014",4,NA,NA,NA,NA,NA,NA,8417820,63,"c(-79.4299252259096, 43.661705140181)"
67,30025460,NA,131,Finch Ave W,131 Finch Ave W,M2N 2H8,North York,Toronto,Willowdale (18 ),Edithvale Park / Edithvale Community Centre,106007,Community/Assembly Hall,30095909,L,75.93,Land,131,NA,NA,NA,1610,NA,NA,NA,NA,64,Edithvale CC,131 Finch Ave W,MircoFIT A,"Feb 12, 2014",10,NA,NA,NA,NA,NA,NA,30025460,64,"c(-79.426539272761, 43.7769936505577)"
68,30000057,NA,25,Mendelssohn St,25 Mendelssohn St,M1L 0G6,Scarborough,Toronto,Scarborough Southwest (20 ),Warden Hilltop Community Centre - Building Grounds,106007,Community/Assembly Hall,30118290,R,45.01,Land,25,NA,NA,NA,19017,NA,NA,NA,NA,65,Warden Hiltop CC,25 Mendelssohn Street,MircoFIT A,"Feb 12, 2014",10,NA,NA,NA,NA,NA,NA,30000057,65,"c(-79.2804886799693, 43.7149029373781)"
69,871192,NA,350,Dovercourt Rd,350 Dovercourt Rd,M6J 3E3,former Toronto,Toronto,Davenport (9 ),Toronto Police 14 Division,103003,Police Station,9410215,L,-7,Land,350,NA,NA,NA,3317,NA,NA,NA,NA,74,Police Division 14,350 Dovercourt Road,MicroFIT B,"Nov 27, 2015",10,NA,NA,NA,NA,NA,NA,871192,74,"c(-79.4259779589982, 43.6512969102351)"
70,30026350,10250060,105,Colborne Lodge Dr,105 Colborne Lodge Dr,NA,former Toronto,Toronto,Parkdale-High Park (4 ),Strawbale Children Teaching Kitchen,106001,Municipal Park,30074982,R,29.03,Structure,105,NA,NA,NA,3197,NA,NA,NA,NA,66,Teaching Kitchen,105 Colborne Lodge Drive,MircoFIT A,"Dec 21, 2014",4,NA,NA,NA,NA,NA,NA,30026350,66,"c(-79.4619866421032, 43.6419971954045)"
71,9655766,NA,2120,Kipling Ave,2120 Kipling Ave,M9W 4K5,Etobicoke,Toronto,Etobicoke North (1 ),Fire Station 415,103002,Fire Station,9655751,L,120.91,Land,2120,NA,NA,NA,1935,NA,NA,NA,NA,67,Fire Hall 415,2120 Kipling Ave,MicroFIT B,"Dec 4, 2015",10,NA,NA,NA,NA,NA,NA,9655766,67,"c(-79.5703767704744, 43.7178772080563)"
72,6044964,NA,947,Martin Grove Rd,947 Martin Grove Rd,M9W 4V6,Etobicoke,Toronto,Etobicoke North (1 ),Fire Station 441,103002,Fire Station,6044958,R,123.29,Land,947,NA,NA,NA,2066,NA,NA,NA,NA,68,West Fire Training Division,947 Martin Grove Road,MicroFIT B,"Nov 25, 2015",10,NA,NA,NA,NA,NA,NA,6044964,68,"c(-79.5719196489125, 43.6949604663995)"
73,1007854,NA,259,Horner Ave,259 Horner Ave,M8Z 4Y3,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),Horner Avenue Ems Station - Building Grounds,103001,Ambulance Station,914182,L,66.54,Land,259,NA,NA,NA,1823,NA,NA,NA,NA,69,Ems Station 38,259 Horner Ave,MicroFIT B,"Aug 27, 2015",10,NA,NA,NA,NA,NA,NA,1007854,69,"c(-79.5214273930965, 43.6067569394856)"
74,12464516,NA,2225,Lake Shore Blvd W,2225 Lake Shore Blvd W,NA,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),Humber Bay Park West,106001,Municipal Park,12464517,L,26,Land,2225,NA,NA,NA,1962,NA,NA,NA,NA,70,Humber Bay Park,2225 Lakeshore Boulevard W,MicroFIT B,"Dec 1, 2015",10,NA,NA,NA,NA,NA,NA,12464516,70,"c(-79.4826286875248, 43.6205289712581)"
75,7987743,NA,333,Annette St,333 Annette St,M6P 1R3,former Toronto,Toronto,Parkdale-High Park (4 ),Annette Community Recreation Centre - Building Grounds,106007,Community/Assembly Hall,7987734,L,61.52,Land,333,NA,NA,NA,2890,NA,NA,NA,NA,71,Annette Recreation Centre,333 Annette Street,MicroFIT B,"Dec 17, 2015",10,NA,NA,NA,NA,NA,NA,7987743,71,"c(-79.47413908979, 43.6612044595428)"
76,57543,NA,2213,Dufferin St,2213 Dufferin St,M6E 3S2,York,Toronto,Toronto-St. Paul's (12 ),Fairbank Memorial Park,106007,Community/Assembly Hall,8065,R,27.68,Land,2213,NA,NA,NA,557,NA,NA,NA,NA,72,Fairbank Memorial Park CC,2213 Dufferin Street,MicroFIT B,"Nov 17, 2015",10,NA,NA,NA,NA,NA,NA,57543,72,"c(-79.4479966609746, 43.6912815689627)"
77,791298,NA,2054,Davenport Rd,2054 Davenport Rd,M6N 1C8,former Toronto,Toronto,Davenport (9 ),Toronto Police 11 Division,103003,Police Station,1142193,R,104.78,Land,2054,NA,NA,NA,3269,NA,NA,NA,NA,73,Police Division 11,2054 Davenport Road,MicroFIT B,"Nov 26, 2015",10,NA,NA,NA,NA,NA,NA,791298,73,"c(-79.4608250665878, 43.6710711235335)"
78,8166363,NA,643,Eglinton Ave W,643 Eglinton Ave W,M5N 1C5,former Toronto,Toronto,Toronto-St. Paul's (12 ),Ambulance Station 18,103001,Ambulance Station,8166365,L,65.15,Land,643,NA,NA,NA,571,NA,NA,NA,NA,75,Ems Station 18,643 Eglinton Ave W,MicroFIT B,"Nov 9, 2015",10,NA,NA,NA,NA,NA,NA,8166363,75,"c(-79.4166539210127, 43.7026608928712)"
79,13977496,NA,3,Gwendolen Cres,3 Gwendolen Cres,NA,North York,Toronto,Willowdale (18 ),Gwendolen Park,106001,Municipal Park,8864914,L,-67.22,Land,3,NA,NA,NA,5772,NA,NA,NA,NA,76,Gwendolen Tennis Clubhouse,3 Gwendolen Cres,MicroFIT B,"Jan 13, 2016",10,NA,NA,NA,NA,NA,NA,13977496,76,"c(-79.420423862789, 43.7510861730603)"
80,8236856,NA,6,Williamson Rd,6 Williamson Rd,M4E 1K5,former Toronto,Toronto,Beaches-East York (19 ),Beaches Recreation Centre - Building Grounds,106007,Community/Assembly Hall,8236854,L,49.03,Land,6,NA,NA,NA,4686,NA,NA,NA,NA,77,Beaches Recreation Centre,6 Williamson Road,MicroFIT B,"Nov 23, 2015",10,NA,NA,NA,NA,NA,NA,8236856,77,"c(-79.2988070621421, 43.6739310242058)"
81,11048269,14600812,887,Pharmacy Ave,887 Pharmacy Ave,M1L 3K9,Scarborough,Toronto,Scarborough Centre (21 ),Ambulance Station 21,103001,Ambulance Station,30000993,R,52.81,Structure Entrance,887,NA,NA,NA,8691,NA,NA,NA,NA,78,Ems Station 44,887 Pharmacy Ave,MicroFIT B,"Nov 16, 2015",10,NA,NA,NA,NA,NA,NA,11048269,78,"c(-79.2985288410622, 43.729553703411)"
82,20165108,NA,2020,Midland Ave,2020 Midland Ave,M1P 3E1,Scarborough,Toronto,Scarborough Centre (21 ),NA,114001,Vacant Location,7204446,L,268.65,Land,2020,NA,NA,NA,8496,NA,NA,NA,NA,79,Ellesmere Yard,2020 Midland Ave,MicroFIT B,"Nov 16, 2015",10,NA,NA,NA,NA,NA,NA,20165108,79,"c(-79.2722017861988, 43.7702042042591)"
83,14189980,331478,1076,Ellesmere Rd,1076 Ellesmere Rd,M1P 4P4,Scarborough,Toronto,Scarborough Centre (21 ),NA,104002,Municipal Other,108429,L,5.7,Structure,1076,NA,NA,NA,7835,NA,NA,NA,NA,80,Ellesmere Yard Library,1076 Ellesmere Road,MicroFIT B,"Nov 16, 2015",10,NA,NA,NA,NA,NA,NA,14189980,80,"c(-79.2729322629571, 43.7680091291994)"
84,982440,NA,1549,Albion Rd,1549 Albion Rd,M9V 1B2,Etobicoke,Toronto,Etobicoke North (1 ),Fire Station 413,103002,Fire Station,906946,L,523.6,Land,1549,NA,NA,NA,1012,NA,NA,NA,NA,81,Fire Hall 413,1549 Albion Rd,MicroFIT C,"June 2, 2017",10,NA,NA,NA,NA,NA,NA,982440,81,"c(-79.5869058522884, 43.7402187055703)"
